Run:Fill,LS,HLTpath,L1bit,HLTpresc,L1presc,Recorded(/ub),Effective(/ub)
200473:2927,247:247,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,108133.403126,0.0722841024938
200473:2927,248:248,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,107703.32769,0.0719966093048
200473:2927,249:249,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,107948.059649,0.0721602056545
200473:2927,250:250,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,107614.360469,0.07193713725
200473:2927,251:251,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,108107.761695,0.0722669619273
200473:2927,252:252,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,108811.652177,0.0727374926813
200473:2927,253:253,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,108008.54252,0.0722006367326
200473:2927,254:254,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,106555.244104,0.0712291481023
200473:2927,255:255,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,106368.459604,0.0711042879805
200473:2927,256:256,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,106005.380605,0.0708615800028
200473:2927,257:257,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,104803.133439,0.0700579119881
200473:2927,258:258,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,106856.974943,0.0714308465809
200473:2927,259:259,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,106005.239026,0.0708614853612
200473:2927,260:260,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,105720.196683,0.070670942667
200473:2927,261:261,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,108583.048585,0.0725846776861
200473:2927,262:262,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,106018.449101,0.0708703159203
200473:2927,263:263,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,106814.346149,0.0714023504453
200473:2927,264:264,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,106221.876206,0.0710063011508
200473:2927,265:265,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,106332.070775,0.0710799630837
200473:2927,266:266,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,105598.34839,0.0705894905508
200473:2927,267:267,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,106727.347407,0.0713441942627
200473:2927,268:268,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,106458.163744,0.071164252645
200473:2927,269:269,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,106190.878931,0.0709855803541
200473:2927,270:270,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,107407.825714,0.0717990746442
200473:2927,271:271,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,105486.935337,0.0705150140959
200473:2927,272:272,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,106565.763773,0.0712361802019
200473:2927,273:273,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,105463.046799,0.0704990452885
200473:2927,274:274,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,104187.031196,0.069646065173
200473:2927,275:275,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,106273.795437,0.0710410076789
200473:2927,276:276,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,105440.684416,0.0704840966716
200473:2927,277:277,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,105745.927927,0.0706881432713
200473:2927,278:278,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,106494.073741,0.071188257456
200473:2927,279:279,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,105121.982073,0.0702710532259
200473:2927,280:280,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,106262.846585,0.0710336886825
200473:2927,281:281,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,105160.218443,0.0702966131508
200473:2927,282:282,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,104453.919624,0.0698244724914
200473:2927,283:283,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,103083.805706,0.0689085903314
200473:2927,284:284,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,105946.998175,0.0708225530096
200473:2927,285:285,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,103496.759561,0.0691846382307
200473:2927,286:286,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,103173.248837,0.0689683805187
200473:2927,287:287,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,105540.177688,0.0705506050922
200473:2927,288:288,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,103550.729514,0.0692207156081
200473:2927,289:289,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,105115.124394,0.0702664690627
200473:2927,290:290,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,103506.313544,0.0691910247961
200473:2927,291:291,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,104476.557129,0.0698396050193
200473:2927,292:292,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,104417.82207,0.069800342304
200473:2927,293:293,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,104023.487029,0.069536740552
200473:2927,294:294,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,103927.420163,0.0694725225862
200473:2927,295:295,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,104639.033148,0.069948215614
200473:2927,296:296,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,103194.808118,0.0689827922842
200473:2927,297:297,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,102216.082266,0.0683285419073
200473:2927,298:298,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,103297.966364,0.0690517506358
200473:2927,299:299,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,103695.824731,0.0693177076316
